position,player,Value,points_per_dollar,fpts,position_qb,position_rb,position_wr,position_te,position_flex
WR,Elijah Moore,6,33.056547815,198.33928689,0,0,1,0,1
RB,Ezekiel Elliott,20,10.710065973699999,214.20131947399997,0,1,0,0,1
WR,Gabe Davis,11,18.83921455981818,207.231360158,0,0,1,0,1
WR,Garrett Wilson,2,87.6548550135,175.309710027,0,0,1,0,1
TE,George Kittle,8,21.1990484305,169.592387444,0,0,0,1,1
TE,Hunter Henry,1,146.382029632,146.382029632,0,0,0,1,1
WR,Hunter Renfrow,6,33.17245057466666,199.034703448,0,0,1,0,1
TE,Irv Smith Jr.,1,145.813565982,145.813565982,0,0,0,1,1
RB,J.K. Dobbins,14,15.307326141999999,214.302565988,0,1,0,0,1
WR,Ja'Marr Chase,54,5.114222203037037,276.167998964,0,0,1,0,1
